大門口(大學廣場),大門口所連接的路段是哪兩個路段,羅斯福路四段和新生南路三段,羅斯福路三段和新生南路三段,汀州路一段和新生南路三段,羅斯福路四段和新生南路一段,包圍台大的四條路分別是(從校門口順時鐘講)，羅斯福路四段、新生南路三段、辛亥路二段、基隆路四段,大門口的國立臺灣大學題字所題人是誰？,朱家驊,朱自清,管中閔,郭大維,為當時的教育部長朱家驊所題,臺大校門建於幾年？,1931,1981,1961,1991,1931年,戒嚴時期校門前廣場未避免群眾聚集設立了花壇與圍牆，直到2003年拆除並加以重新命名，請問此廣場現名為何？,大學廣場,民主廣場,自由廣場,中正廣場,台大校門前廣場在1979年被築起圍牆與花壇，直到2003年校方決議恢復廣場於1970年代的形式，並命名為「大學廣場」,下列關校門口的敘述何者為非,校門迄今並未列為古蹟,唭哩岸石材,左右對稱的碉堡外型,象徵謙遜學風的低調設計,1998年台大校門被指定為台北市定古蹟,戒嚴時代大門口廣場沒有軍警管制，成為各界發表言論的地點，下列何並未在大學前廣場舉辦活動？,1960中國民主黨的「選舉改進座談會」, 1972康寧祥參選立委,1978哲學系事件陳鼓應成立競選總部,1978中美斷交,中國民主黨的籌組分別彰化、台中、嘉義、高雄、中壢舉辦選舉改進座談會
傅鐘,傅鐘每次打響幾聲,21,20,24,22,1951年為紀念傅斯年校長所設，並由於傅斯年ㄈ校長認為「一天只有二十一小時，剩下的三小時是用來沈思的。」 所以鐘聲每次敲響21下,在鑄造傅鐘時，當年的兵工廠同時鑄造了另一口鐘，請問這個一起出廠的鐘目前置於哪個學校?,台南成功大學,新竹清華大學,台北政治大學,台中逢甲大學,,下列哪個歷史事件和傅鐘有關?,保釣事件,美麗島事件,哲學系事件,陳文成事件,由於傅鐘具精神與聲音上相關意義，保釣事件時，先後有學生在傅鐘進行靜坐、絕食等抗議。,傅斯年長期被神化為校園民主的守護者，還原四六事件當時，請問何者非傅斯年對彭孟緝所言,不准逮捕學生,要趕快做,要趁抵做,不准流血,傅斯年並非想像中力抗極權的自由派學者而是堅決反共者，因此選擇與國家合作以軍隊掃蕩校園,以下何者不是台大校園交通車的停靠站,小福,傅鐘,社科院舊址,醫學院,,關於傅鐘的敘述何者錯誤？,2018上半年有群眾為了支持楊泮池聚集此處,現在由電子敲鐘,早期有工友負責敲鐘,在2018上半年被綁很多黃絲帶,讓新生知道台大校園狀況
傅園,傅園的入口在,靠近大門口處,舟山路上,新月台附近,,從校門口進入後右轉就可以看到傅園入口，同一方向也是女一、二、三、五舍的出入口,傅斯年校長因何原因逝世？,腦溢血,車禍,癌症,自然辭世,傅斯年校長是因腦溢血而逝。,傅斯年校長幾年辭世？,民國39,民國36,民國41,民國43,民國36,傅園本來的作用為？,植物系的標本園,化工系的實驗地,森林系的實驗林,植微系的預定地,事實,傅斯年為臺大第幾任校長？,四,一,二,三,第四任,何者並非傅園的特色,前身是帝大動物園,斯年堂仿製希臘帕德嫩神廟,傅園裡面有傅斯年的骨灰罈,帕德嫩神廟被作為民主象徵，因此斯年堂可說是神話傅斯年,去年講義
行政大樓,行政大樓位於哪個校內景點附近,傅鐘,總圖,傅園,新月台,從椰林大道上看，傅鐘後面就是第一行政大樓,行政大樓裡的行政人員幾點下班？,5:00,5:30,6:30,4:30,行政人員的下班時間是，記得有相關行政事項要在行政人員下班前處理。,行政大樓的黑瓦紅磚建築、拱頂石、帶卷草的螺型托座為何種建築形式之特色?,後期文藝復興時期,日治時期,巴洛克時期,後現代主義時期,,行政大樓曾在不同時期扮演不同的行政用途，以下何者為非,校本部與理工農三院辦公室,台北高等農林學院本部,理農學院及專門部本部,行政大樓,行政大樓中間的坐落著的會議室在60年代是校本部及理工農三院辦公室,何者並非行政大樓的建築特色,山牆,仿後期文藝復興風格,黑瓦、紅磚,四根科林斯式立柱,行政大樓建築風格迥異於椰林大道建築群，反映出不同興建年代與教育體制的變化,下列何單位位於在行政大樓西側的一層樓平房，而非行政大樓內部?,學生住宿服務組,註冊組,僑生及陸生輔導組,課外活動指導組,
校史館,校史館原先是作為什麼功用的建築,圖書館,文學院,理學院,行政大樓,就總圖於1929年完工，1998新總圖落成並啟用後成為日文系館和國科會人文中心，在2005年校史館進駐,校史館一樓匾額上題了什麼字？,敦品勵學,愛國愛人,臺灣大學,校史館,敦品勵學,校史館二樓有何人之塑像？,傅斯年,錢思亮,閻振興,虞兆中,校史館二樓有傅斯年之塑像,校史館為以前的舊總圖，二樓的作為閱覽室，窗戶採大拱窗設計，那一樓的小開窗有甚麼功用呢?,保存書籍,防止竊盜,實驗研究,防止火災,校史館一樓為過去舊總圖之書庫，為避免日光對藏書的影響，採取小開窗設計。,何者非校史館建築特色,地下室是藏書空間,歷經五次的擴建,閉架室藏書管理,二樓以大型拱窗採光,究總圖(校史館)建築是以閉架室藏書管理而設計的，一樓較為隱蔽為藏書間，二樓則為挑高設計配合大型拱窗的閱覽室。,何者並非舊總圖(校史館)的建築特色,黑瓦、紅磚,仿羅馬建築風格,大型拱窗,拱門,舊總圖採用的是北投窯場的時三溝面磚
文學院,文學院的興建時間是,台北帝國大學時期,台灣大學時期,,,文學院完工於1929年，是當時台北帝大的看板建築,請問下列哪一系所包含在文學院內？,以上皆是,哲學系,戲劇學系,人類學系,以上系所皆屬文學院,哪位傑出校友畢業於文學院？,林文月,林泠,邱妙津,侯文詠,林文月為中文系畢業，邱妙津為心理系畢，侯文詠為醫學系畢業，林泠為化學系畢業。,著名作家白先勇為台大外文系之校友。請問下列何者非白先勇之著作?,《家變》,《孽子》,《孤戀花》,《一把青》,《家變》為台大外文系校友王文興之作品。,文學院擁有校內最大的「車寄」，請問其功能為何?,遮陽避雨,停放腳踏車,郵筒,藏書,「車寄」為日文的門廊，讓車子臨時停放，以供賓客上下車，遮陽避雨，不受天氣影響。,何者並非文學院的建築特色,東西向的長型建築量體,山牆,拱窗,斜屋頂,文學院具備椰林大道建築群的經典特色：山牆、拱窗、斜屋頂、中央門廊
陳文成廣場,陳文成廣場是為紀念哪一事件所設立,陳文成事件,江南案,美麗島事件,林宅案,陳文成事件是1981年台大陳文成教授離奇陳屍於台大校園的事件，真相至今未明，由於陳文成教授曾贊助美麗島雜誌，並關注民主與民權一提，此案普遍被認為涉及政治。2015年該地點正式被命名為陳文成事件紀念廣場,陳文成事件的發生時間？,1981,1971,1991,1961,陳文成事件的發生時間為1981年,請問台大校花為何?,杜鵑花,梅花,蓮花,雞蛋花,,請問台大校地約佔台灣總面積的百分之幾?,1,0.1,0.5,2,臺大幅員遼闊，校地分布臺北、宜蘭、新竹、雲林，以及中部高山地區，校地面積約3萬4千公頃，佔臺灣總面積的百分之一，提供師生豐富的生物與生態多樣性研究環境。,107學年度第一學期開學日為幾月幾號?,9/10,9/15,9/6,9/12,,,,,,,
土木系館(校園規劃題),土木工程館與哪一棟建築相連,化學工程館,電機一館,機械工程學系館,化學館,土木工程館與化學工程館在建築結構上為同一棟建築,土木系館因建造當時受國際流行影響，頗富現代主義建築元素。下列何者是現代主義建築特色?,強調實用及線條簡潔,山牆及斜屋頂,以拱型為主要結構形式,強調垂直線條,其他選項為日治時期建築特色，例如文學院即為台大之中具代表性的日治時期建築之一。,以下關於土木系館的敘述何者錯誤,土木系為戰後成立之科系,該地曾為?公圳流經處,位於椰林大道上,具有臺大傳統建築風格,日治時期1941年時設立工學部，土木系前身為當時的土木工程學講座,土木系館由誰設計?,校內營繕組人員,王大閎,伊東豐雄,李祖原,土木系館是校內人員資源不足的環境下營造,,,,,,,,,,,,
一活,何者不是一活的功用,一般課程上課,社團辦公室,餐廳,演出禮堂,活大一樓包括餐廳、怡仁堂，二樓有社團辦公室、排練教室、鋼琴教室，學生可登記使用,請問一活（第一學生活動中心）位於哪裡？,總圖旁,醉月湖旁,管理學院旁,新體旁,管理學院旁為二活,請問第一學生活動中心(活大)的設計是由哪位建築師操刀?,王大閎,伊東豐雄,李祖原,森山松之助,王大閎為台大設計13棟建築，如活大、保健中心等，有台大御用建築師之稱。,何者不是一活內的學生餐廳,八方雲集,麥當勞,韓風小舖,食香園素食館,活大內的鍋貼水餃店是四海遊龍。,活大建築融合了中國傳統與現代主義，何者並非活大建築特色。,清水模,天井,飛簷,臺基,活大具有許多中國傳統建築的語彙，包含屋頂兩邊的飛簷、建築本體下方的臺基、屋內的天井等。,,,,,,
農業陳列館及周邊,農業陳列館附屬於台大哪一學院,生物資源暨農學院,醫學院,公共衛生學院,生命科學院,位於新月台對面的農業陳列館成立在1964年，隸屬生物資源暨農學院，旨在呈現台灣農業發展與改革的過程與成果,農陳館於民國幾年開幕？,民國53,民國55,民國51,民國57,事實,農業陳列館由張肇康先生設計，在建築設計上呼應許多中國傳統建築元素。,O,X,,,農業陳列館的建築設計呼應中國傳統建築的墊高臺基、屋身內縮及懸挑大屋頂，為現代中國建築中呼應中國傳統的經典手法。,戰後初期有少數日籍教授被台大留任，其餘被遣返回國，下列何者被遣返回國。,太田賴常,高?知武,松本巍,磯永吉,太田賴常是亞洲做出人工撞擊原子核實驗的第一人，而在1949年被國民政府遣返日本,,,,,,,,,,,,
普通,普通教學館有幾層樓,5,4,6,3,普通教學館有5層樓，不同教室可容納300~80個學生,普通教學館總共有幾間教室？,25間,28間,30間,38間,普通教學館有25間教室,在學生會性工坊的推動下，台大校內共有五台保險套販賣機，請問普通教學館的保險套機台位於何處?,一樓男廁旁,二樓電梯旁\,一樓女廁旁,二樓管理室旁,保險套販賣機位於一樓男廁旁，該機台是校內五台中第一名，歡迎同學多加利用。,普通教學館與博雅教學館相連的通道位於幾樓?,2F,3F,4F,5F,,,,,,,,,,,,,
